feature,importance
instrumentalness,0.1503925506945622
duration_ms,0.12487399571619137
loudness,0.12033879583012157
energy,0.10882234228076394
tempo,0.09418715669786101
acousticness,0.0827956690346921
speechiness,0.07965059604724517
danceability,0.07638316432898978
valence,0.07223672152496956
liveness,0.06518962455838949
key,0.025129383286213808
